DEPT,COURSE,COURSE TITLE,FAL,HSV,SBS
AAL,101-1,Elementary Hebrew,FAL,,
AAL,101-2,Elementary Hebrew,FAL,,
AAL,101-3,Elementary Hebrew,FAL,,
AAL,102-1,Intermediate Hebrew,FAL,,
AAL,102-2,Intermediate Hebrew,FAL,,
AAL,102-3,Intermediate Hebrew,FAL,,
AAL,105-1,Elementary Arabic,FAL,,
AAL,105-2,Elementary Arabic,FAL,,
AAL,105-3,Elementary Arabic,FAL,,
AAL,106-1,Intermediate Arabic,FAL,,
AAL,106-2,Intermediate Arabic,FAL,,
AAL,106-3,Intermediate Arabic,FAL,,
AAL,111-1,Elementary Chinese,FAL,,
AAL,111-2,Elementary Chinese,FAL,,
AAL,111-3,Elementary Chinese,FAL,,
AAL,112-1,Intermediate Chinese,FAL,,
AAL,112-2,Intermediate Chinese,FAL,,
AAL,112-3,Intermediate Chinese,FAL,,
AAL,114-0,Spoken Egyptian Arabic (Formerly AAL165-0),FAL,,
AAL,115-1,Japanese I,FAL,,
AAL,115-2,Japanese I,FAL,,
AAL,115-3,Japanese I,FAL,,
AAL,116-1,Japanese II,FAL,,
AAL,116-2,Japanese II,FAL,,
AAL,116-3,Japanese II,FAL,,
AAL,118-1,Turkish I,FAL,,
AAL,118-2,Turkish I,FAL,,
AAL,118-3,Turkish I,FAL,,
AAL,119-1,Turkish II,FAL,,
AAL,119-2,Turkish II,FAL,,
AAL,119-3,Turkish II,FAL,,
AAL,121-1,Swahili I,FAL,,
AAL,121-2,Swahili I,FAL,,
AAL,121-3,Swahili I,FAL,,
AAL,122-1,Swahili II,FAL,,
AAL,122-2,Swahili II,FAL,,
AAL,122-3,Swahili II,FAL,,
AAL,125-1,Korean I,FAL,,
AAL,125-2,Korean I,FAL,,
AAL,125-3,Korean I,FAL,,
AAL,126-1,Korean II,FAL,,
AAL,126-2,Korean II,FAL,,
AAL,126-3,Korean II,FAL,,
AAL,127-2,Accelerated Korean II,FAL,,
AAL,127-3,Accelerated Korean III,FAL,,
AAL,128-1,Hindi I,FAL,,
AAL,128-2,Hindi I,FAL,,
AAL,128-3,Hindi I,FAL,,
AAL,129-1,Hindi II,FAL,,
AAL,129-2,Hindi II,FAL,,
AAL,129-3,Hindi II,FAL,,
AAL,131-1,Persian I,FAL,,
AAL,131-2,Persian I,FAL,,
AAL,131-3,Persian I,FAL,,
AAL,132-1,Persian II,FAL,,
AAL,132-2,Persian II,FAL,,
AAL,132-3,Persian II,FAL,,
AAL,165-0,Spoken Egyptian Arabic,FAL,,
AAL,203-1,Advanced Hebrew,FAL,,
AAL,203-2,Advanced Hebrew,FAL,,
AAL,203-3,Advanced Hebrew,FAL,,
AAL,207-1,Arabic III,FAL,,
AAL,207-2,Arabic III,FAL,,
AAL,207-3,Arabic III,FAL,,
AAL,213-1,Advanced Chinese,FAL,,
AAL,213-2,Advanced Chinese,FAL,,
AAL,213-3,Advanced Chinese,FAL,,
AAL,217-1,Japanese III,FAL,,
AAL,217-2,Japanese III,FAL,,
AAL,217-3,Japanese III,FAL,,
AAL ,309-1,Arabic Literature: Modern Prose,FAL,,
AAL ,309-2,Arabic Literature: Classical Texts,FAL,,
AAL ,309-3,Arabic Literature: Poetry,FAL,,
AAL,314-1,Modern and Classical Chinese Literature,FAL,,
AAL,314-2,Modern and Classical Chinese Literature,FAL,,
AAL,314-3,Modern and Classical Chinese Literature,FAL,,
AAL,318-1,Japanese IV,FAL,,
AAL,318-2,Japanese IV,FAL,,
AAL,318-3,Japanese IV,FAL,,
AAL,399-0,Independent Study,FAL,,
AF_AM_ST,210-1,Survey of African American Literature,FAL,,
AF_AM_ST,210-2,Survey of African American Literature,FAL,,
AF_AM_ST,212-1,Intro African American History,,HSV,
AF_AM_ST,212-2,Intro African American History,,HSV,
AF_AM_ST,213-0,History of the Black World,,HSV,
AF_AM_ST,214-0,Comparative Race Studies in the U.S.,,HSV,SBS
AF_AM_ST,218-0,Asian/Black Relations in the US,,HSV,
AF_AM_ST,220-0,Civil Rights and Black Liberation,,HSV,SBS
AF_AM_ST,225-0,African American Culture,FAL,,SBS
AF_AM_ST,259-0,Intro African American Drama,FAL,HSV,
AF_AM_ST,316-0,African American Folklore,FAL,,
AF_AM_ST,320-0,Social Meaning of Race,,,SBS
AF_AM_ST,327-0,Politics of African-Am Pop Culture,FAL,HSV,SBS
AF_AM_ST,330-0,Black Women in 20th Century US,,HSV,SBS
AF_AM_ST,331-0,The African American Novel,FAL,,
AF_AM_ST,332-0,Black Feminist Theories,,HSV,
AF_AM_ST,334-0,Gender &amp; Black Masculinity,,,SBS
AF_AM_ST,340-0,Slavery &amp; Abolitionist Discourse,,HSV,
AF_AM_ST,345-0,Black Politics in Latin America,,,SBS
AF_AM_ST,350-0,Af Am Literary Criticism &amp;Theory,FAL,HSV,
AF_AM_ST,360-0,Major Authors,FAL,,
AF_AM_ST,365-0,Black Chicago,,HSV,SBS
AF_AM_ST,370-0,Black Activist Debates,,HSV,SBS
AF_AM_ST,378-0,Harlem Renaissance,FAL,,
AF_AM_ST,379-0,Black Women Writers,FAL,,
AF_AM_ST,381-0,Topics in Transnational Black Culture,FAL,HSV,
AF_AM_ST,390-0,Research Seminar in Af Am Studies,,HSV,
AF_AM_ST,394-0,Urban School Reform,,HSV,SBS
AF_AM_ST,396-0,Internship in Af Am Studies,,,SBS
AF_AM_ST,399-0,Independent Study,,HSV,
AMER_ST,210-0,Topics in American Culture,,HSV,SBS
AMER_ST,310-0,Studies in American Culture,,HSV,SBS
AMER_ST,399-0,Independent Study,,,SBS
AMER_ST,399-0,Independent Study,,,SBS
AMES,274-1,Ancient Chinese Lit,FAL ,HSV,
AMES,274-2,Late Imperial Chinese Lit &amp; Fiction,FAL,HSV,
AMES,274-3,Modern Chinese Lit,FAL,HSV,
ANIM_ART,101-0,Perceptual &amp; Mathematical Spaces,FAL,,
ANIM_ART,201-0,Perception &amp; Programming in Time,FAL,,
ANIM_ART,302-0,Culture &amp; Connectivity,FAL,,SBS
ANTHRO,105-0,Fundamentals,,HSV,SBS
ANTHRO,112-0,New Directions in Archaeology,,HSV,SBS
ANTHRO,211-0,Culture &amp; Society,,HSV,SBS
ANTHRO,211-Z,Culture &amp; Society,,HSV,SBS
ANTHRO,212-0,"Global Cultures, Global Inequalities",,HSV,SBS
ANTHRO,213-0,Human Origins,,HSV,SBS
ANTHRO,214-0,Culture Origins,,HSV,SBS
ANTHRO,215-0,Study of Culture Through Language,FAL,,SBS
ANTHRO,220-0,Evolution of Moral Systems,,HSV,SBS
ANTHRO,225-0,Evolution of Human Society,,HSV,SBS
ANTHRO,232-0,Myth/Symbolism,FAL,HSV,
ANTHRO,235-0,Attending to Culture,,HSV,
ANTHRO,255-0,Contemp African Worlds,,HSV,SBS
ANTHRO,301-0,Hunter Gatherer Archaeology,,HSV,SBS
ANTHRO,302-0,Agriculture,,HSV,SBS
ANTHRO,306-0,Evolution of Life Histories,,,SBS
ANTHRO,308-0,Global Health in Human History,,HSV,SBS
ANTHRO,310-0,Evolution &amp; Culture,,,SBS
ANTHRO,311-0,Indians of North America,,HSV,SBS
ANTHRO,312-0,Human Population Biology,,,SBS
ANTHRO,313-0,Population Genetics,,,SBS
ANTHRO,314-0,Human Growth &amp; Development,,,SBS
ANTHRO,315-0,Medical Anthropology,,,SBS
ANTHRO,317-0,Human Evolution,,,SBS
ANTHRO,320-0,Peoples-Africa,,HSV,SBS
ANTHRO,320-Z,Peoples-Africa,,HSV,SBS
ANTHRO,321-0,Archaeological Field Methods,,,SBS
ANTHRO,322-0,Intro Archaeology Resrch Dsgn &amp; Methods,,,SBS
ANTHRO,325-0,Archaeological Methods Lab,,,SBS
ANTHRO ,327-0,Archaeology of Ethnicity in America,,HSV,SBS
ANTHRO,328-0,The Maya,,HSV,
ANTHRO,330-0,Peoples of the World,,HSV,SBS
ANTHRO,330-Z,Peoples of the World,,HSV,SBS
ANTHRO,332-0,Anthro of Reproduction,,,SBS
ANTHRO,334-0,The Anthropology of HIV/AIDS,,HSV,SBS
ANTHRO,335-0,Language in Asian America (cross listed: Asian Am 335),,HSV ,SBS
ANTHRO,339-0,Material Culture,,HSV,SBS
ANTHRO,341-0,Economic Anthro,,,SBS
ANTHRO,347-0,Political Anthro,,,SBS
